edad,ingreso_mensual,talla_cm,peso_kg,temperatura_c,frecuencia_cardiaca,ciudad,tipo_servicio,nivel,codigo_serie,referencia,sensor_defectuoso
,,170.9415912,75.45773315,36.53827192,60.9114103,Monterrey,basico,medio,Z,REF-740147,-0.048843586
22,63953.58266,161.4094316,,36.35788059,,CDMX,,alto,Z,REF-774635,
31,37296,176.2433727,69.61629846,37.12571024,,CDMX,basico,alto,Z,REF-415260,
51,3621,167.0176936,84.25929466,,76.77507588,,,bajo,X,REF-223148,
42,22827,165.724067,66.01840191,36.82803922,82.86690904,Guadalajara,,alto,X,REF-223219,
56,45935,,78.23794832,36.81756046,,Puebla,basico,alto,,REF-716095,
,,156.3730596,70.80926929,36.58696276,67.86986145,CDMX,premium,bajo,Y,REF-508752,
,14332,171.1736448,84.40960041,36.6691447,63.11661125,,basico,medio,Y,REF-541973,
56,11457,185.2165933,81.65179294,36.1851854,53.2594498,Puebla,,bajo,Y,REF-833827,
40,,172.195599,65.31292825,35.83474531,,CDMX,premium,bajo,Y,REF-115143,-0.984048523
45,14800,,72.63887545,36.6525284,,Puebla,basico,medio,Z,REF-779077,
,42388,163.4360525,89.61240757,36.71339659,,Monterrey,basico,alto,X,REF-346806,
36,,164.3069402,80.50727618,37.0232426,69.55367447,Monterrey,premium,alto,X,REF-938087,
,,165.7143359,55.44253119,37.14996754,66.02456997,CDMX,premium,,Y,REF-959843,
47,56453,164.5997412,84.17865286,37.14949947,,CDMX,estandar,alto,Y,REF-551922,
21,18388,176.246803,59.81545129,36.25069174,79.6669623,,basico,,Y,REF-384248,-0.975838337
44,51552,152.4011181,94.77518298,36.47670724,86.72558495,,estandar,alto,Z,REF-309863,
33,17020,175.7580005,89.33738376,36.768117,,,,medio,Z,REF-263308,
,19473,,,,,Toluca,premium,medio,Y,REF-999284,
44,22413,171.3925301,77.20125981,37.11803472,,CDMX,basico,medio,Z,REF-268778,
57,121229,157.8571088,72.07354842,36.99178901,,Puebla,,,X,REF-501907,0.47980232
,29998,179.9576796,84.49933532,36.46427422,82.13816442,Guadalajara,basico,,,REF-531291,
16,11775,179.2107146,69.80910563,36.29088013,,,,bajo,Y,REF-711262,
34,32194,176.6363147,78.29797819,36.87611776,71.23366828,CDMX,estandar,alto,Z,REF-858383,
,14487,154.367207,87.20708113,36.21476856,72.01068959,CDMX,basico,medio,X,REF-602196,
29,13417,175.4620896,,40.04579017,66.18929922,Puebla,basico,bajo,,REF-782200,
,,171.6436958,66.37330164,36.55982772,81.05940196,Puebla,basico,alto,,REF-610017,
43,18339,153.5525588,58.27888327,37.15751923,74.87181791,,estandar,medio,Z,REF-493166,
,21275,,60.09738155,,68.04191499,CDMX,basico,medio,Y,REF-241974,
23,,,,35.74626263,68.05306217,CDMX,basico,medio,X,REF-287853,
35,22028,173.0046775,85.21760305,,61.47521527,Toluca,basico,,Z,REF-489175,
20,23228,169.5953523,100.3248036,36.35534235,,Guadalajara,premium,,X,REF-141458,1.042355317
27,5630,170.6210828,94.95460521,36.61492086,76.94341203,Guadalajara,basico,bajo,Z,REF-384725,
39,26851,181.2625025,52.23481716,36.56965335,,,estandar,alto,Y,REF-516366,
49,9986,179.0343052,85.1479654,36.5042036,85.702573,Guadalajara,basico,bajo,,REF-525371,
42,7576,142.1965054,94.9094889,36.8766192,69.27461428,Monterrey,basico,bajo,Y,REF-833296,
15,17380,165.143053,68.60466027,36.06349729,59.12199248,Guadalajara,,medio,Y,REF-970892,
39,,166.5181408,76.42026403,36.41904502,88.25466747,,,medio,Y,REF-756713,
,11873,152.2311128,46.88949729,,69.55483613,Toluca,basico,bajo,Z,REF-171582,0.608789772
40,,168.8476475,78.73430635,36.38507033,71.09321092,Toluca,,alto,X,REF-467740,
54,8045,179.23882,60.11016379,36.03691765,76.49416024,Monterrey,estandar,,X,REF-756919,
15,14100,158.2208893,,36.83399437,89.71107067,Guadalajara,basico,medio,Y,REF-635231,0.010575206
93,12673,171.0276084,53.14315909,36.99308312,76.24044749,Monterrey,basico,bajo,Y,REF-512005,
42,61756.59024,159.7575887,82.60001514,,,Puebla,estandar,alto,X,REF-492621,
,21278,161.9527918,89.34317746,35.91370404,82.52652405,Monterrey,basico,,Z,REF-465362,
,,181.2965427,64.03548194,38.8949641,,,basico,bajo,,REF-621113,
39,,163.1169796,59.08308386,36.01903924,98.65508766,Monterrey,basico,alto,Z,REF-260902,
,,172.1599124,44.8156774,36.70807975,75.98656334,Monterrey,basico,medio,X,REF-565754,
,,151.159037,71.27021052,,49.17957403,Monterrey,estandar,bajo,Z,REF-285280,
45,5558,184.7608581,66.85768492,,80.28837967,CDMX,premium,,Z,REF-712869,
48,17867,173.423872,53.28572823,,99.33517351,Guadalajara,premium,medio,Y,REF-878272,-1.422628649
38,15765,166.3575014,81.34226259,36.53584586,94.91104346,Monterrey,premium,,Y,REF-556937,-0.328069623
38,16917,173.1799186,68.70041465,,97.97145147,CDMX,,medio,,REF-448821,-0.082897023
38,,155.3116251,59.93969658,36.80604615,63.76287778,Puebla,basico,medio,X,REF-946548,
,20609,178.6427767,67.23598632,,86.94582875,Monterrey,basico,medio,Z,REF-693722,
33,31784,165.084137,89.99826355,36.94306681,67.33606552,CDMX,basico,alto,Z,REF-485224,
33,9242,166.1633744,83.44111721,36.69841061,78.69147279,Puebla,,bajo,Y,REF-125905,
40,8910,163.5750995,73.17963514,36.35585498,,Monterrey,basico,bajo,Y,REF-114324,
47,,,83.66747026,36.29692104,,Puebla,estandar,bajo,Y,REF-299337,
22,21407,174.2520355,,36.0233763,67.88503963,Guadalajara,basico,medio,X,REF-312735,
,120276.2513,170.3031617,,36.70175661,,Puebla,basico,alto,X,REF-749259,
53,13896,173.8657333,77.06251263,36.47589436,85.60862946,Guadalajara,,bajo,Z,REF-550545,
26,4012,,68.42228888,35.76973157,,Monterrey,basico,bajo,Y,REF-999962,
25,,172.6187983,81.0964167,36.41249979,59.79494298,CDMX,premium,bajo,Y,REF-586514,
,10919,164.2303613,64.07393163,,,,,bajo,Y,REF-912807,-0.323282599
,12881,188.0675866,82.13748991,37.15148716,67.0466022,Monterrey,estandar,,Z,REF-597145,
35,14088,,82.7260228,36.00402749,86.43610908,Monterrey,basico,medio,Y,REF-422362,0.461350112
51,18422,179.3484359,40,36.09552722,90.13821823,,estandar,medio,Y,REF-743096,
45,14929,,,36.98848938,88.67662703,Puebla,basico,medio,Z,REF-504483,
,33784,160.3305707,40,37.07486711,66.93736697,Monterrey,basico,alto,X,REF-347183,
42,11998,188.0634625,66.37531364,40.27329112,43.12560253,CDMX,estandar,bajo,Z,REF-525902,
,10729,176.9594125,89.35487248,36.37876996,54.79645722,Toluca,basico,bajo,Y,REF-698412,
,23991,176.7402511,70.55798585,36.81568239,,Monterrey,,alto,Y,REF-438002,
15,7163,168.2521997,,35.78551507,,,premium,bajo,,REF-733628,
54,22741,166.0449646,,,66.99130458,Toluca,basico,alto,Z,REF-982643,
30,19142,,,36.50174331,95.71192352,Toluca,estandar,medio,Z,REF-470152,
,16476,171.5147754,48.09893657,37.1424617,91.18191935,Puebla,estandar,medio,Z,REF-365711,
,46681,180.6106765,90.80587541,36.44749447,76.29338466,Monterrey,basico,alto,,REF-461951,
16,31411.7543,169.631828,74.22857061,36.63532788,,,,,Z,REF-854434,
,61964,159.7970074,58.30646537,36.99682625,74.41478545,Guadalajara,,alto,X,REF-261032,
16,15723,175.4198436,66.83638899,37.33740966,78.72595358,,estandar,medio,Z,REF-976308,
25,8366,176.2903567,60.75885922,36.39810303,95.20056738,Guadalajara,basico,,Z,REF-472588,
,18771,173.8919358,87.12715281,36.59410715,,Puebla,basico,medio,Y,REF-857452,
41,9437,174.7094902,85.25398934,37.23771933,84.7123484,CDMX,basico,bajo,X,REF-808133,0.661478395
38,11465,,50.93174413,36.06723025,,Guadalajara,premium,bajo,X,REF-805219,-0.875628732
18,22842,159.6390975,69.34971034,36.95965337,61.96388799,Guadalajara,estandar,alto,X,REF-918074,
,,160.1862591,62.91540073,36.24358956,85.05834271,,premium,alto,Y,REF-266367,
36,12392,153.2808308,93.10913956,,72.46517494,CDMX,estandar,bajo,X,REF-634251,
29,32551,170.1325375,56.09861235,,,,estandar,alto,X,REF-189103,
41,36049,167.248961,97.45920747,36.26469594,50.4619655,Puebla,estandar,alto,Z,REF-369433,
43,42613,,74.53387365,36.25591433,63.78258866,Guadalajara,premium,alto,,REF-136528,
37,24730,141.3994306,58.73291831,36.69674503,82.37467874,CDMX,estandar,alto,,REF-714060,
44,40790,156.7741428,65.51816142,36.94843876,77.36559478,,basico,,Z,REF-646954,
38,5823,178.0875659,63.77733623,36.55459233,78.21240049,Guadalajara,estandar,bajo,Y,REF-766130,
41,14874,162.018366,57.15534237,36.62453961,99.41132179,CDMX,,medio,Y,REF-258604,
27,10699,171.2453251,76.32757604,36.79991092,60.77092462,Monterrey,,bajo,Y,REF-398991,
33,19335,155.4838311,57.80918229,,75.67079975,,,medio,Z,REF-708706,
,12775,180.9483493,44.47487308,36.85889238,79.65322627,,basico,,,REF-843892,
45,16292,166.7037511,69.68452941,36.88677008,67.1647226,Monterrey,estandar,medio,X,REF-897107,
30,55683,170.6103636,49.76001325,37.5112692,76.33992094,,,alto,Z,REF-166326,
41,,,64.46974785,36.46836353,56.80060799,CDMX,estandar,medio,Y,REF-462276,-0.092042539
32,23073,181.6479609,62.27255956,,,Puebla,,alto,Z,REF-109678,
34,,165.2409094,62.80297499,36.86913806,67.82062537,,estandar,medio,Z,REF-836665,
,18837,162.6610183,103.0134834,36.88668646,,Puebla,,medio,,REF-210673,
15,18065,165.0700949,75.78976194,36.4127195,75.61030811,CDMX,premium,medio,Y,REF-839931,
19,23556,172.5890842,78.43519413,36.45889306,,CDMX,estandar,alto,Y,REF-240407,
,36218,167.0529828,50.13042385,36.78939579,,Guadalajara,basico,alto,,REF-113832,
15,48367,164.4428027,65.84451613,40.30429934,75.63107401,,basico,alto,X,REF-891035,
,21675,181.2046313,78.01423682,,68.991648,Toluca,basico,medio,Z,REF-494930,
44,25639,,60.65659522,36.63135747,,CDMX,basico,alto,X,REF-482483,
32,9024,188.6963018,87.71287981,36.94857854,79.81598433,Puebla,,,Z,REF-682061,
37,17076,168.8166831,58.1622478,36.38839048,66.58889789,Puebla,premium,medio,Z,,
48,31644,184.0678655,,35.95516544,74.49946701,Monterrey,estandar,,X,REF-721715,
,,171.2158748,66.79527704,35.92919089,68.67881361,CDMX,estandar,,Z,REF-486167,
34,20437,176.6666452,77.30048923,36.15920543,103.5959688,Guadalajara,basico,medio,X,REF-345394,
51,30637,161.4785005,66.03313899,,74.92323076,CDMX,estandar,alto,Z,REF-455356,
,,160.316167,71.20748922,36.54588623,94.54278582,Puebla,,alto,X,REF-105529,
25,36987,172.1373536,71.69417872,36.18389195,73.65253203,,basico,alto,,REF-371315,
28,,176.8969792,64.7185714,36.35403576,79.1114517,Toluca,,medio,,REF-632302,
17,14541,168.3623085,81.79131416,36.32906994,60.14363114,Monterrey,,medio,Z,REF-224109,
24,,156.42246,78.33743725,36.44582225,70.6351289,Guadalajara,,medio,X,,
31,,155.7576747,73.75940477,37.06287652,78.52641605,Monterrey,premium,bajo,X,REF-690323,
45,22649,155.1557724,68.97358333,36.83168166,95.03204597,,estandar,medio,Z,REF-485407,
56,2016,,86.15161643,,78.66379333,Toluca,basico,bajo,Z,REF-222943,
18,6400,,71.69832059,36.4386408,92.60464433,CDMX,estandar,bajo,,REF-773051,
40,23604,178.1253953,70.70623797,,83.68874932,,basico,alto,Z,REF-797881,
,,167.8792579,76.46566042,36.71471126,95.52881607,Puebla,estandar,alto,Y,REF-131286,
41,8961,147.6562672,98.75221356,36.80445918,75.29149339,Puebla,basico,bajo,X,REF-281519,
,11741,166.2831559,56.23501309,36.28233387,104.6826725,Guadalajara,,,Z,REF-433310,
15,,166.534809,85.7779965,36.61276826,70.17524557,Puebla,premium,alto,Y,REF-758233,
46,13463,186.8639888,48.49560374,35.88893315,66.80245799,,basico,bajo,Y,REF-166627,
28,69139,154.8857588,78.04182422,36.67409982,,,basico,alto,Z,REF-825026,
29,17979,164.4839016,97.05115959,36.86675223,103.9722961,CDMX,estandar,medio,X,REF-387497,
22,22993,183.3526741,81.84135934,36.50197598,,CDMX,basico,alto,Z,REF-212793,
27,47489,172.0498051,77.3887511,37.23578445,71.9905512,,basico,alto,,REF-877033,
40,19472,173.0698177,,,,CDMX,basico,medio,X,REF-178071,
33,9865,169.0312599,75.43466081,36.67610415,84.25230622,Guadalajara,basico,,Z,REF-216619,
39,16853,170.9694918,71.47112058,36.58746134,99.59352966,Puebla,estandar,medio,X,REF-954614,
39,,174.9984858,63.99632749,36.56489582,,CDMX,,medio,,,
51,,160.7146231,70.94174138,36.55998724,72.8156787,Monterrey,,bajo,Y,REF-516741,
31,15439,175.9025272,77.77733625,,70.44974339,CDMX,estandar,medio,Z,REF-718621,
,11531,155.6429728,64.25896104,36.89678556,,Puebla,basico,bajo,,REF-667211,
48,31343,170.9553118,63.71205451,37.08220768,88.72392646,Puebla,basico,alto,X,REF-652202,
31,18378,169.6086687,55.95659187,,,,estandar,medio,X,REF-120934,
48,15191,162.4533622,80.47015037,36.88536063,,,basico,medio,X,REF-596560,
40,16889,167.7958325,,36.35438157,,Toluca,estandar,,X,REF-350838,
33,20578,,78.24324622,36.86808441,71.7610757,Puebla,premium,medio,X,REF-826901,
39,26062,158.3546881,,36.33330297,70.94616421,Guadalajara,estandar,alto,Y,REF-554857,
58,,164.8174673,76.23014692,36.98173098,77.42397004,Guadalajara,estandar,bajo,X,REF-211391,
60,9635,158.0641023,80.48815312,37.37372431,87.84696824,Puebla,basico,bajo,Y,REF-897595,0.925644621
36,34924,170.9051772,79.25372396,,69.1994437,CDMX,basico,alto,,REF-355855,
37,14055,157.6492306,73.71843973,,68.42846083,Puebla,basico,bajo,Z,REF-344295,
48,7693,174.4077932,67.56849441,,88.68627124,,,bajo,Y,REF-942647,
25,23492,,105.9981366,37.0311563,80.54367189,Puebla,estandar,alto,X,REF-797671,1.010781384
39,23769,162.9033458,68.67268628,36.79357688,,CDMX,basico,alto,Z,REF-873566,
35,7185,162.3785693,65.67771204,36.68711976,,CDMX,basico,bajo,Z,REF-695990,
39,20657,179.9263206,81.07613753,36.95303392,94.01483037,Toluca,,medio,X,REF-919435,
25,,170.9726095,78.52596181,36.7695587,80.8231394,Puebla,,alto,Y,REF-203743,
16,22534,166.0943958,55.33291833,37.02620382,,Puebla,,medio,Z,REF-639976,
15,26300,172.488475,90.71749556,36.92179829,73.95508411,Toluca,estandar,alto,Z,REF-364037,
22,7751,149.0352689,73.68127595,,76.15884007,Guadalajara,premium,bajo,Y,REF-458581,
29,21955,167.6117977,59.44696467,36.72557863,84.82880032,CDMX,basico,medio,Y,REF-314077,
31,,185.9776276,91.6429776,,,,estandar,medio,X,REF-284533,
58,13473,169.1911186,83.759458,,,Guadalajara,,bajo,X,REF-498274,
48,30347,168.6112185,,36.38948872,79.27546906,CDMX,basico,alto,Y,REF-926460,
23,,172.9331554,,37.19736867,74.80198503,Toluca,,alto,X,REF-671800,
,52825,176.0604472,84.22316316,36.67567164,82.86231019,CDMX,basico,alto,Z,REF-414416,
30,39617,150.0227998,74.85725438,36.8817082,,CDMX,,,X,REF-490077,
32,16853,,97.26306328,36.64330901,80.28554412,CDMX,estandar,medio,Z,REF-576849,
37,66355.08153,169.8926216,,,,CDMX,,alto,,REF-320082,
,,161.5661109,74.60683695,36.60384401,81.84182257,CDMX,estandar,alto,,REF-569086,
31,19357,179.8082274,65.75579838,37.10259791,77.66934088,Monterrey,,medio,X,REF-726290,
106,19469,165.1634305,83.14590615,,74.84939677,CDMX,estandar,medio,Z,REF-318850,
21,29507,150.5892234,,36.00098439,65.98178617,Monterrey,,alto,X,REF-626023,
,17371,156.5878747,,36.52466444,75.13601689,,estandar,,,REF-737531,
66,11621,143.2529158,63.94019105,37.22380283,,Monterrey,estandar,,Z,REF-567381,
38,14037,165.8928702,,36.5251711,74.57165792,Monterrey,basico,bajo,Z,REF-362765,
52,26330,166.3045429,74.022817,35.96983246,,Guadalajara,estandar,alto,Z,REF-598977,
,18032,164.1798356,,37.26256711,70.09303493,CDMX,premium,medio,Y,REF-813911,
42,,,54.39462708,36.83883738,78.41020357,CDMX,basico,medio,Y,REF-299710,
34,26908,178.7866785,82.9121473,36.5754955,71.51783203,,estandar,alto,Y,REF-617209,
33,14375,166.4665042,40,36.47000379,,Monterrey,,medio,Z,REF-712387,
26,,148.787757,77.87574738,36.97882318,82.27412513,,estandar,,X,REF-389345,
40,,173.5555342,68.30683719,36.41030581,86.66779816,Guadalajara,premium,medio,,REF-448750,
25,8580,172.9982421,,37.00188975,93.08271367,Puebla,,bajo,X,REF-899971,
43,42766,170.7845241,68.09144507,,87.95030469,Monterrey,premium,,Z,REF-427120,
48,13329,,84.232779,36.68563867,,Monterrey,basico,bajo,Y,REF-638408,-1.241402378
,6668,,,,65.15758664,Puebla,estandar,bajo,X,REF-234760,
32,9615,186.0787985,76.59247415,36.53876119,,Monterrey,estandar,bajo,Z,REF-933379,
40,9755,159.3651502,85.31571143,36.96597404,,Monterrey,estandar,bajo,Z,REF-637153,
,18572,174.7430063,68.52421997,36.29713001,62.34007928,CDMX,premium,medio,Z,REF-784326,
46,15273,,88.95176838,36.03232621,70.69969847,CDMX,,,Z,REF-642397,
,14706,159.6276178,61.08822972,36.81505404,,,estandar,medio,,REF-419939,
,26107,181.6473178,79.1242998,36.82093341,67.93782712,Monterrey,basico,alto,Z,REF-406270,-0.984652585
15,22072,,87.91695612,36.7680844,72.21052617,Guadalajara,estandar,medio,Z,REF-731087,
17,,175.5593034,,36.74270493,90.1414102,Monterrey,,medio,Y,REF-873864,
